learnerId,extracted_info
DkM8bRR0rrSA9SntNNdRAOy7NVy2-5QbbkvcdQG,"grammar_skills:
1. Articles: a/an
2. Countable Nouns (basic): a book 

___

vocab_skills:
1. Communication_and_Technology
2. Jobs_and_Work"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-6Nw5Mt4rhT,"grammar_skills:
1. Articles: a/an
2. Prepositions of Place: in, on, at, under

___

vocab_skills:
1. Communication_and_Technology
2. Verbs_Actions_and_States"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-6Nw5Mt4rhT,"grammar_skills:
1. Verb 'to be': am/is/are (positive statements)
2. Verb 'to be': am I?/is he?/are they? (questions)

___

vocab_skills:
1. Communication_and_Technology
2. Adjectives_Description_and_Feelings"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-AHBIS2ceuF,"grammar_skills:
1. Forming yes/no questions
2. Past Simple (negatives): didn't

___

vocab_skills:
1. Sports_Hobbies_and_Leisure
2. Verbs_Actions_and_States"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-AHBIS2ceuF,"grammar_skills:
1. Articles: a/an
2. Past Simple: regular verbs (-ed)

___

vocab_skills:
1. Time_Dates_and_Numbers
2. Communication_and_Technology"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-AHBIS2ceuF,"grammar_skills:
1. Adjectives (basic): big, small, happy, sad
2. Articles: a/an

___

vocab_skills:
1. Adjectives_Description_and_Feelings
2. Communication_and_Technology"
4z4sy6YzxKU9B8Ucmqpnjc4XmVv2-sre7v5HKZb,"grammar_skills:
1. Verb 'to be': am/is/are (positive statements)
2. Verb 'to be': am I?/is he?/are they? (questions)

___

vocab_skills:
1. Places_Buildings_and_City
2. Time_Dates_and_Numbers"
4z4sy6YzxKU9B8Ucmqpnjc4XmVv2-y9B5tltX5t,"grammar_skills:
1. Verb 'to be': am I?/is he?/are they? (questions)
2. Possessive Adjectives: my, your, his, her, its, our, their

___

vocab_skills:
1. Food_and_Drink
2. Adjectives_Description_and_Feelings"
4NorGzrV4aQghqBsCm7HWE5nKzJ3-euthvGBrop,"grammar_skills:
1. Articles: a/an
2. Past Simple: regular verbs (-ed)

___

vocab_skills:
1. Places_Buildings_and_City
2. Transport_and_Travel"
4NorGzrV4aQghqBsCm7HWE5nKzJ3-euthvGBrop,"grammar_skills:
1. Verb 'to be': am/is/are (positive statements)
2. Present Simple: don't/doesn't (negative statements)

___

vocab_skills:
1. Family_and_People
2. Jobs_and_Work"
BuoqS3dOPjMpg5BUGJFq5xYY3223-Qy3yJ46kYq,"grammar_skills:
1. Articles: a/an
2. Prepositions of Place: in, on, at, under

___

vocab_skills:
1. Financial_Security
2. Communication_and_Technology"
BuoqS3dOPjMpg5BUGJFq5xYY3223-kXhF75DpYb,"grammar_skills:
1. Prepositions of Place: in, on, at, under
2. Forming yes/no questions

___

vocab_skills:
1. Communication_and_Technology
2. Security_and_Fraud"
BuoqS3dOPjMpg5BUGJFq5xYY3223-n0r7d1eBzu,"grammar_skills:
1. Articles: a/an
2. Prepositions of Place: in, on, at, under

___

vocab_skills:
1. Communication_and_Technology
2. Verbs_Actions_and_States"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-MiCcHVhpW5,"grammar_skills:
1. Pronouns (Subject): I, you, he, she, it, we, they
2. Possessive Adjectives: my, your, his, her, its, our, their

___

vocab_skills:
1. Family_and_People
2. Time_Dates_and_Numbers"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-Wiy6nzQTw6,"grammar_skills:
1. Past Simple (negatives): didn't
2. There is / There are

___

vocab_skills:
1. Communication_and_Technology
2. Finance_and_Banking"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-Wiy6nzQTw6,"grammar_skills:
1. Articles: a/an
2. Past Simple (negatives): didn't

___

vocab_skills:
1. Communication_and_Technology
2. Jobs_and_Work"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-ZNXsIheCIv,"grammar_skills:
1. Articles: a/an
2. Countable nouns with a/an and some

___

vocab_skills:
1. Communication_and_Technology
2. Colors"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-ZNXsIheCIv,"grammar_skills:
1. Verb 'to be': am/is/are (positive statements)
2. Plural Nouns: regular (-s, -es) 

___

vocab_skills:
1. Transport_and_Travel
2. Adjectives_Description_and_Feelings"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-ZNXsIheCIv,"grammar_skills:
1. Pronouns (Object): me, you, him, her, it, us, them
2. Present Continuous vs. Present Simple: differences in use

___

vocab_skills:
1. Communication_and_Technology
2. Adjectives_Description_and_Feelings"
DkM8bRR0rrSA9SntNNdRAOy7NVy2-xeUr9o6Ehc,"grammar_skills:
1. Verb 'to be': am/is/are (positive statements)
2. Articles: a/an

___

vocab_skills:
1. Communication_and_Technology
2. Finance_and_Banking"
bDmrIJfCoJdxc2IJR63uY3EwFIc2-7cRLEzTv60,"grammar_skills:
1. Verb 'to be': am/is/are (positive statements)
2. Present Simple: I do/work/like (positive statements with common verbs)

___

vocab_skills:
1. Transport_and_Travel
2. Time_Dates_and_Numbers"
bDmrIJfCoJdxc2IJR63uY3EwFIc2-9cjHFWKNaa,"grammar_skills:
1. Verb 'to be': am/is/are (positive statements)
2. Past Simple (negatives): didn't

___

vocab_skills:
1. Finance
2. Education_and_School"
bDmrIJfCoJdxc2IJR63uY3EwFIc2-9cjHFWKNaa,"grammar_skills:
1. Past Simple: regular verbs (-ed)
2. Present Continuous vs. Present Simple: differences in use

___

vocab_skills:
1. Communication_and_Technology
2. Time_Dates_and_Numbers"
bDmrIJfCoJdxc2IJR63uY3EwFIc2-9cjHFWKNaa,"grammar_skills:
1. Articles: a/an
2. Countable Nouns (basic): a book 

___

vocab_skills:
1. Communication_and_Technology
2. Banking_and_Finance"
bDmrIJfCoJdxc2IJR63uY3EwFIc2-cLX3Ziu4w8,"grammar_skills:
1. Articles: a/an
2. Past Simple: common irregular verbs (went, saw, got)

___

vocab_skills:
1. Finance
2. Communication_and_Technology"
bDmrIJfCoJdxc2IJR63uY3EwFIc2-ikdKjKguH1,"grammar_skills:
1. Forming yes/no questions
2. Present Continuous vs. Present Simple: differences in use

___

vocab_skills:
1. Communication_and_Technology
2. Adjectives_Description_and_Feelings"
bDmrIJfCoJdxc2IJR63uY3EwFIc2-lYQHmttfKE,"grammar_skills:
1. Present Simple: I do/work/like (positive statements with common verbs)
2. Present Simple: don't/doesn't (negative statements)

___

vocab_skills:
1. Transport_and_Travel
2. Time_Dates_and_Numbers"
bDmrIJfCoJdxc2IJR63uY3EwFIc2-lYQHmttfKE,"grammar_skills:
1. Past Simple: regular verbs (-ed)
2. Uncountable Nouns (basic): some water

___

vocab_skills:
1. Food_and_Drink
2. Describing people and things (simple)"
td72VjlvzHOaRo3bZc4a9kVjvwC2-Oeyfccckg9,"grammar_skills:
1. Past Simple: regular verbs (-ed)
2. Plural Nouns: regular (-s, -es) 

___

vocab_skills:
1. Colors
2. Adjectives_Description_and_Feelings"
td72VjlvzHOaRo3bZc4a9kVjvwC2-ejdMGdBxsd,"grammar_skills:
1. Verb 'to be': am not/isn't/aren't (negative statements)
2. Present Simple: Do you?/Does she? (questions)

___

vocab_skills:
1. Communication_and_Technology
2. Education_and_School"
td72VjlvzHOaRo3bZc4a9kVjvwC2-ejdMGdBxsd,"grammar_skills:
1. Present Simple: I do/work/like (positive statements with common verbs)
2. Present Simple: Do you?/Does she? (questions)

___

vocab_skills:
1. Home_Furniture_and_Household
2. Adjectives_Description_and_Feelings"
td72VjlvzHOaRo3bZc4a9kVjvwC2-ejdMGdBxsd,"grammar_skills:
1. Present Simple: don't/doesn't (negative statements)
2. Past Simple: regular verbs (-ed)

___

vocab_skills:
1. Communication_and_Technology
2. Finance_and_Banking"
td72VjlvzHOaRo3bZc4a9kVjvwC2-gYva7s3xEx,"grammar_skills:
1. Articles: a/an
2. Past Simple: regular verbs (-ed)

___

vocab_skills:
1. Communication_and_Technology
2. Financial_Security"
td72VjlvzHOaRo3bZc4a9kVjvwC2-gYva7s3xEx,"grammar_skills:
1. Articles: a/an
2. Past Simple: regular verbs (-ed)

___

vocab_skills:
1. Colors
2. Clothing_and_Accessories"
td72VjlvzHOaRo3bZc4a9kVjvwC2-voXT0W8gXB,"grammar_skills:
1. Verb 'to be': am I?/is he?/are they? (questions)
2. Articles: a/an

___

vocab_skills:
1. Communication_and_Technology
2. Structural_and_Grammar_Words"
z3MwG69fQtWBgaCrJwC8h69SRLG3-JFHfW6tSq4,"grammar_skills:
1. Present Simple: I do/work/like (positive statements with common verbs)
2. Plural Nouns: regular (-s, -es) 

___

vocab_skills:
1. Finance_and_Banking
2. Communication_and_Technology"
z3MwG69fQtWBgaCrJwC8h69SRLG3-JFHfW6tSq4,"grammar_skills:
1. Present Simple: don't/doesn't (negative statements)
2. Verb 'to be': am not/isn't/aren't (negative statements)

___

vocab_skills:
1. Communication_and_Technology
2. Jobs_and_Work"
z3MwG69fQtWBgaCrJwC8h69SRLG3-r4brnLid1B,"grammar_skills:
1. Articles: a/an
2. Countable nouns with a/an and some

___

vocab_skills:
1. Finance
2. Home_Furniture_and_Household"
z3MwG69fQtWBgaCrJwC8h69SRLG3-r4brnLid1B,"grammar_skills:
1. Articles: a/an
2. Past Simple: regular verbs (-ed)

___

vocab_skills:
1. Finance_and_Banking
2. Communication_and_Technology"
z3MwG69fQtWBgaCrJwC8h69SRLG3-r4brnLid1B,"grammar_skills:
1. Articles: a/an
2. Past Simple: regular verbs (-ed)

___

vocab_skills:
1. Communication_and_Technology
2. Banking_and_Finance"
z3MwG69fQtWBgaCrJwC8h69SRLG3-rfJgamGXQy,"grammar_skills:
1. Present Simple: Do you?/Does she? (questions)
2. Present Continuous vs. Present Simple: differences in use

___

vocab_skills:
1. Communication_and_Technology
2. Jobs_and_Work"
z3MwG69fQtWBgaCrJwC8h69SRLG3-rfJgamGXQy,"grammar_skills:
1. Articles: a/an
2. Possessive Adjectives: my, your, his, her, its, our, their

___

vocab_skills:
1. Communication_and_Technology
2. Banking_and_Finance"
z3MwG69fQtWBgaCrJwC8h69SRLG3-w7H2OyBN8K,"grammar_skills:
1. Present Simple: I do/work/like (positive statements with common verbs)
2. Present Simple: Do you?/Does she? (questions)

___

vocab_skills:
1. Communication_and_Technology
2. Verbs_Actions_and_States"
z3MwG69fQtWBgaCrJwC8h69SRLG3-w7H2OyBN8K,"grammar_skills:
1. Articles: a/an
2. Past Simple: regular verbs (-ed)

___

vocab_skills:
1. Communication_and_Technology
2. Finance_and_Banking"
